port_id,name,country,country_code,lat,lon,region,annual_teu_millions,port_type,commodities,strategic_importance,alternate_ports
P031,Port of Seattle-Tacoma,USA,USA,47.548,-122.4302,North America West,3.9,major_hub,"['agricultural', 'consumer_goods', 'machinery', 'electronics']",high,"['P029', 'P030', 'P032']"
P032,Port of New York-New Jersey,USA,USA,40.684,-74.044,North America East,9.5,mega_hub,"['consumer_goods', 'chemicals', 'machinery', 'agricultural', 'pharmaceuticals']",critical,"['P033', 'P034', 'P029']"
P033,Port of Savannah,USA,USA,32.0835,-81.0998,North America East,5.7,major_hub,"['consumer_goods', 'agricultural', 'machinery', 'chemicals']",high,"['P032', 'P034', 'P035']"
P034,Port of Houston,USA,USA,29.7604,-95.3698,North America Gulf,3.8,major_hub,"['oil', 'petrochemicals', 'agricultural', 'machinery', 'consumer_goods']",high,"['P033', 'P035', 'P032']"
P035,Port of Vancouver,Canada,CAN,49.2827,-123.1207,North America West,3.6,major_hub,"['agricultural', 'coal', 'consumer_goods', 'machinery', 'lumber']",high,"['P031', 'P029', 'P030']"
P036,Port of Santos,Brazil,BRA,-23.9618,-46.3322,South America,4.7,major_hub,"['agricultural', 'iron_ore', 'consumer_goods', 'chemicals', 'automobiles']",high,"['P037', 'P038']"
P037,Port of Callao,Peru,PER,-12.0464,-77.1428,South America,2.6,regional_hub,"['minerals', 'agricultural', 'consumer_goods', 'chemicals']",medium,"['P036', 'P038']"
P038,Port of Colon,Panama,PAN,9.3647,-79.901,Central America,4.8,major_hub,"['transshipment', 'consumer_goods', 'agricultural', 'chemicals']",critical,"['P034', 'P036', 'P029']"
P039,Port of Durban,South Africa,ZAF,-29.8587,31.0218,Southern Africa,2.9,major_hub,"['minerals', 'agricultural', 'consumer_goods', 'chemicals', 'automobiles']",high,"['P040', 'P041']"
P040,Port of Cape Town,South Africa,ZAF,-33.9249,18.4241,Southern Africa,1.1,regional_hub,"['agricultural', 'minerals', 'consumer_goods']",high,"['P039', 'P041']"
P041,Port of Lagos (Apapa),Nigeria,NGA,6.453,3.3958,West Africa,1.5,regional_hub,"['oil', 'consumer_goods', 'agricultural', 'chemicals']",medium,"['P039', 'P040']"
P042,Port of Melbourne,Australia,AUS,-37.8136,144.9631,Oceania,3.0,major_hub,"['agricultural', 'minerals', 'consumer_goods', 'chemicals', 'machinery']",high,"['P043', 'P044']"
P043,Port of Sydney (Botany),Australia,AUS,-33.95,151.19,Oceania,2.7,major_hub,"['consumer_goods', 'agricultural', 'machinery', 'chemicals']",high,"['P042', 'P044']"
P044,Port of Brisbane,Australia,AUS,-27.3818,153.1175,Oceania,1.4,regional_hub,"['agricultural', 'minerals', 'consumer_goods']",medium,"['P042', 'P043']"
P045,Suez Canal (Northern Entry),Egypt,EGY,31.2565,32.3211,Middle East,0.0,chokepoint,['all — Asia-Europe corridor'],critical,"['P046', 'P039', 'P040']"
P046,Cape of Good Hope Route,South Africa,ZAF,-34.3568,18.4741,Southern Africa,0.0,alternate_route,['all — Suez bypass'],critical,"['P039', 'P040']"
P047,Strait of Malacca,International,INT,2.5,101.5,Southeast Asia,0.0,chokepoint,['all — Asia traffic'],critical,['P048']
P048,Lombok Strait (Malacca bypass),Indonesia,IDN,-8.75,115.87,Southeast Asia,0.0,alternate_route,['all — Malacca bypass'],high,"['P002', 'P013']"
P049,Panama Canal,Panama,PAN,9.08,-79.68,Central America,0.0,chokepoint,['all — Americas traffic'],critical,['P050']
P050,Cape Horn Route,International,INT,-55.9833,-67.2667,South America,0.0,alternate_route,['all — Panama bypass'],high,"['P036', 'P039']"
